placement_id,course_id,student_id,company_name,role,salary_offered,district,placement_year
P0001,C001,STU_C001_001,Company_13,Full Stack Developer,517253,Chhatrapati Sambhajinagar,2026
P0002,C001,STU_C001_002,Company_21,Full Stack Developer,469630,Chhatrapati Sambhajinagar,2026
P0003,C001,STU_C001_003,Company_24,Full Stack Developer,528576,Chhatrapati Sambhajinagar,2026
P0004,C001,STU_C001_004,Company_25,Full Stack Developer,594227,Chhatrapati Sambhajinagar,2026
P0005,C001,STU_C001_005,Company_28,Full Stack Developer,462438,Chhatrapati Sambhajinagar,2026
P0006,C001,STU_C001_006,Company_31,Full Stack Developer,462439,Chhatrapati Sambhajinagar,2026
P0007,C001,STU_C001_007,Company_32,Full Stack Developer,598440,Chhatrapati Sambhajinagar,2026
P0008,C001,STU_C001_008,Company_34,Full Stack Developer,537557,Chhatrapati Sambhajinagar,2026
P0009,C001,STU_C001_009,Company_41,Full Stack Developer,444789,Chhatrapati Sambhajinagar,2026
P0010,C001,STU_C001_010,Company_45,Full Stack Developer,520692,Chhatrapati Sambhajinagar,2026
P0011,C001,STU_C001_011,Company_56,Full Stack Developer,445243,Chhatrapati Sambhajinagar,2026
P0012,C001,STU_C001_012,Company_64,Full Stack Developer,445070,Chhatrapati Sambhajinagar,2026
P0013,C001,STU_C001_013,Company_66,Full Stack Developer,498147,Chhatrapati Sambhajinagar,2026
P0014,C001,STU_C001_014,Company_73,Full Stack Developer,336503,Chhatrapati Sambhajinagar,2026
P0015,C001,STU_C001_015,Company_76,Full Stack Developer,350631,Chhatrapati Sambhajinagar,2026
P0016,C001,STU_C001_016,Company_78,Full Stack Developer,437828,Chhatrapati Sambhajinagar,2026
P0017,C001,STU_C001_017,Company_79,Full Stack Developer,404037,Chhatrapati Sambhajinagar,2026
P0018,C001,STU_C001_018,Company_82,Full Stack Developer,503568,Chhatrapati Sambhajinagar,2026
P0019,C001,STU_C001_019,Company_84,Full Stack Developer,411898,Chhatrapati Sambhajinagar,2026
P0020,C001,STU_C001_020,Company_86,Full Stack Developer,374077,Chhatrapati Sambhajinagar,2026
P0021,C001,STU_C001_021,Company_96,Full Stack Developer,589923,Chhatrapati Sambhajinagar,2026
