skill_id,skill_name,category,description
SK01,AWS,Cloud & Infrastructure,"Amazon Web Services cloud hosting, VPC, EC2, and IAM"
SK02,Battery Management Systems,EV & Clean Mobility,"BMS architecture, cell monitoring, thermal protection, and charging algorithms"
SK03,C++,Software Engineering,"Systems programming, embedded logic, memory management, and OOP"
SK04,Content Strategy,Digital Services,"Content marketing, campaign planning, storytelling, and digital media"
SK05,Data Structures,Software Engineering,"Algorithms, collections, algorithmic complexity, and problem solving"
SK06,Digital Electronics,Manufacturing & Hardware,"Logic gates, PCB design, microcontroller interfaces, and digital circuits"
SK07,Docker,Cloud & Infrastructure,"Containerization, Dockerfile orchestration, and container networking"
SK08,Electric Powertrain,EV & Clean Mobility,"EV motors, inverters, powertrain integration, and regenerative braking"
SK09,FastAPI,Software Engineering,Modern asynchronous REST API development in Python
SK10,Git,Software Engineering,"Version control, branch workflows, pull requests, and GitOps"
SK11,Grid Integration,Renewable Energy,"Solar/wind grid interconnection, substation interfacing, and load flow"
SK12,Inventory Management,Logistics & Supply Chain,"Stock replenishment, SKU tracking, warehouse slotting, and FIFO/LIFO"
SK13,IoT Sensors,Industrial Automation,"Industrial sensor calibration, telemetry protocols (MQTT/CoAP), and edge acquisition"
SK14,Kubernetes,Cloud & Infrastructure,"Container cluster orchestration, ingress controllers, and auto-scaling"
SK15,Logistics Analytics,Logistics & Supply Chain,"Freight route optimization, fleet analytics, demand forecasting, and KPI dashboards"
SK16,Machine Learning,AI & Data Science,"Supervised learning models, regression, classification, and scikit-learn"
SK17,Microprocessors,Manufacturing & Hardware,"ARM/x86 architectures, register-level programming, and peripheral interfaces"
SK18,Node.js,Software Engineering,"Server-side JavaScript runtime, event-loop programming, and Express"
SK19,PLC Programming,Industrial Automation,"Ladder logic, Siemens/Rockwell PLC controllers, and factory automation"
SK20,Power BI,AI & Data Science,"Business intelligence reporting, DAX measures, and dashboard visualization"
SK21,Predictive Maintenance,Industrial Automation,"Vibration analysis, sensor anomaly detection, and equipment life forecasting"
SK22,Python,Software Engineering,"General-purpose programming, data manipulation, automation, and backend"
SK23,Quantum Computing Basics,Emerging Tech,"Qubits, quantum gates, quantum superposition, and basic quantum circuits"
SK24,React,Software Engineering,"Modern frontend web UI components, React hooks, and state management"
SK25,Robotics Troubleshooting,Industrial Automation,"Industrial robot calibration, servo drive diagnostics, and robotic arm kinematics"
SK26,SAP EWM,Logistics & Supply Chain,"Enterprise warehouse management module, picking/packing workflows, and RFID"
SK27,SCADA,Industrial Automation,"Supervisory Control and Data Acquisition systems, HMI screen engineering"
SK28,SEO/SEM,Digital Services,"Search engine optimization, Google Ads, keyword research, and web traffic analytics"
SK29,SQL,AI & Data Science,"Relational database querying, joins, index optimization, and data modeling"
SK30,Solar PV Design,Renewable Energy,"Photovoltaic panel string sizing, inverter selection, and solar irradiance modeling"
