job_id,skill,proficiency
J0001,Quantum Computing Basics,Beginner
J0001,Robotics Troubleshooting,Advanced
J0001,Electric Powertrain,Intermediate
J0002,Electric Powertrain,Beginner
J0002,Git,Beginner
J0002,Solar PV Design,Intermediate
J0002,Data Structures,Advanced
J0002,React,Advanced
J0003,SCADA,Advanced
J0003,Power BI,Beginner
J0003,Robotics Troubleshooting,Beginner
J0003,Node.js,Intermediate
J0003,SQL,Beginner
J0004,Electric Powertrain,Intermediate
J0004,SCADA,Advanced
J0004,Predictive Maintenance,Advanced
J0004,Git,Advanced
J0005,SCADA,Advanced
J0005,Content Strategy,Advanced
J0005,Docker,Advanced
J0005,Quantum Computing Basics,Advanced
J0005,Battery Management Systems,Beginner
J0006,FastAPI,Intermediate
J0006,Content Strategy,Advanced
J0006,Logistics Analytics,Advanced
J0006,SCADA,Advanced
J0006,Predictive Maintenance,Intermediate
J0007,Content Strategy,Advanced
J0007,Digital Electronics,Intermediate
J0007,SCADA,Advanced
J0007,PLC Programming,Advanced
J0007,Power BI,Advanced
J0008,C++,Advanced
J0008,Content Strategy,Beginner
J0008,SQL,Beginner
J0008,Docker,Beginner
J0009,PLC Programming,Advanced
J0009,Electric Powertrain,Beginner
J0009,Robotics Troubleshooting,Intermediate
J0009,Logistics Analytics,Beginner
J0009,Content Strategy,Intermediate
J0010,Git,Intermediate
J0010,Kubernetes,Beginner
J0010,Data Structures,Advanced
J0010,PLC Programming,Advanced
J0011,Machine Learning,Advanced
J0011,AWS,Beginner
J0011,Solar PV Design,Beginner
J0011,Python,Intermediate
J0011,Electric Powertrain,Intermediate
J0012,React,Advanced
J0012,Content Strategy,Beginner
J0012,SQL,Advanced
J0012,Inventory Management,Intermediate
J0012,Electric Powertrain,Intermediate
J0013,Docker,Beginner
J0013,Inventory Management,Beginner
J0013,Logistics Analytics,Advanced
J0014,Battery Management Systems,Intermediate
J0014,Logistics Analytics,Intermediate
J0014,SEO/SEM,Intermediate
J0015,Solar PV Design,Intermediate
J0015,FastAPI,Beginner
J0015,SAP EWM,Intermediate
J0016,Node.js,Advanced
J0016,Digital Electronics,Beginner
J0016,IoT Sensors,Advanced
J0017,Power BI,Intermediate
J0017,FastAPI,Beginner
J0017,Quantum Computing Basics,Intermediate
J0017,SQL,Beginner
J0018,SCADA,Beginner
J0018,SEO/SEM,Advanced
J0018,Machine Learning,Intermediate
J0019,Node.js,Beginner
J0019,Predictive Maintenance,Advanced
J0019,Data Structures,Beginner
J0019,Robotics Troubleshooting,Advanced
J0019,Quantum Computing Basics,Intermediate
J0020,Content Strategy,Beginner
J0020,Battery Management Systems,Intermediate
J0020,Electric Powertrain,Intermediate
J0021,Docker,Advanced
J0021,PLC Programming,Beginner
J0021,Battery Management Systems,Beginner
J0021,Solar PV Design,Intermediate
J0021,Grid Integration,Intermediate
J0022,React,Beginner
J0022,IoT Sensors,Advanced
J0022,FastAPI,Advanced
J0023,SQL,Beginner
J0023,Docker,Beginner
J0023,IoT Sensors,Intermediate
J0023,Kubernetes,Intermediate
J0024,C++,Beginner
J0024,PLC Programming,Beginner
J0024,SQL,Intermediate
J0024,Power BI,Advanced
J0024,React,Beginner
J0025,Grid Integration,Advanced
J0025,Battery Management Systems,Advanced
J0025,Data Structures,Intermediate
J0025,SQL,Beginner
J0026,Content Strategy,Intermediate
J0026,AWS,Advanced
J0026,Predictive Maintenance,Advanced
J0026,Data Structures,Intermediate
J0027,PLC Programming,Intermediate
J0027,Content Strategy,Intermediate
J0027,SQL,Intermediate
J0028,Robotics Troubleshooting,Beginner
J0028,IoT Sensors,Beginner
J0028,Quantum Computing Basics,Advanced
J0029,Quantum Computing Basics,Advanced
J0029,SQL,Advanced
J0029,SAP EWM,Advanced
J0030,Machine Learning,Beginner
J0030,SQL,Intermediate
J0030,PLC Programming,Beginner
