job_id,district,company,role,salary,experience,description,date
J0001,Mumbai,Company_23,Full Stack Developer,913896,0 years,Sample job description,2026-09-01
J0002,Pune,Company_88,Full Stack Developer,531974,5 years,Sample job description,2026-09-01
J0003,Chhatrapati Sambhajinagar,Company_1,PLC Programmer,1375334,5 years,Sample job description,2026-09-01
J0004,Pune,Company_84,EV Battery Technician,391011,2 years,Sample job description,2026-09-01
J0005,Nashik,Company_48,Full Stack Developer,312217,2 years,Sample job description,2026-09-01
J0006,Pune,Company_63,EV Battery Technician,1113729,3 years,Sample job description,2026-09-01
J0007,Chhatrapati Sambhajinagar,Company_53,Digital Marketing Specialist,1001320,1 years,Sample job description,2026-09-01
J0008,Mumbai,Company_34,EV Battery Technician,962730,4 years,Sample job description,2026-09-01
J0009,Mumbai,Company_13,Cloud Architect,898959,2 years,Sample job description,2026-09-01
J0010,Nashik,Company_75,Warehouse Manager,1461824,2 years,Sample job description,2026-09-01
J0011,Mumbai,Company_80,EV Battery Technician,711205,0 years,Sample job description,2026-09-01
J0012,Pune,Company_38,Cloud Architect,726499,0 years,Sample job description,2026-09-01
J0013,Nashik,Company_42,Warehouse Manager,697542,2 years,Sample job description,2026-09-01
J0014,Chhatrapati Sambhajinagar,Company_5,Solar Grid Engineer,355634,1 years,Sample job description,2026-09-01
J0015,Mumbai,Company_30,PLC Programmer,1281883,1 years,Sample job description,2026-09-01
J0016,Mumbai,Company_74,Full Stack Developer,402450,2 years,Sample job description,2026-09-01
J0017,Nashik,Company_39,Solar Grid Engineer,816570,3 years,Sample job description,2026-09-01
J0018,Mumbai,Company_5,PLC Programmer,1484069,2 years,Sample job description,2026-09-01
J0019,Nashik,Company_56,Full Stack Developer,645067,1 years,Sample job description,2026-09-01
J0020,Nagpur,Company_41,Digital Marketing Specialist,1356625,1 years,Sample job description,2026-09-01
J0021,Mumbai,Company_36,Data Analyst,1311299,5 years,Sample job description,2026-09-01
J0022,Chhatrapati Sambhajinagar,Company_13,Solar Grid Engineer,1301098,1 years,Sample job description,2026-09-01
J0023,Pune,Company_63,Digital Marketing Specialist,559808,1 years,Sample job description,2026-09-01
J0024,Mumbai,Company_66,PLC Programmer,1038328,5 years,Sample job description,2026-09-01
J0025,Pune,Company_30,Full Stack Developer,1421004,1 years,Sample job description,2026-09-01
J0026,Mumbai,Company_69,Data Analyst,1214341,0 years,Sample job description,2026-09-01
J0027,Nagpur,Company_65,Warehouse Manager,985042,3 years,Sample job description,2026-09-01
J0028,Nagpur,Company_14,Data Analyst,868565,2 years,Sample job description,2026-09-01
J0029,Nashik,Company_37,Cloud Architect,988993,4 years,Sample job description,2026-09-01
J0030,Nagpur,Company_68,Data Analyst,634112,2 years,Sample job description,2026-09-01
J0031,Nashik,Company_83,Warehouse Manager,829483,4 years,Sample job description,2026-09-01
J0032,Nashik,Company_33,Supply Chain Coordinator,1220416,5 years,Sample job description,2026-09-01
J0033,Nashik,Company_30,PLC Programmer,1229208,5 years,Sample job description,2026-09-01
J0034,Pune,Company_26,Robotics Maintenance Tech,998978,4 years,Sample job description,2026-09-01
J0035,Nashik,Company_80,Digital Marketing Specialist,871823,5 years,Sample job description,2026-09-01
J0036,Nashik,Company_63,Warehouse Manager,1076517,5 years,Sample job description,2026-09-01
J0037,Mumbai,Company_39,EV Battery Technician,1352747,0 years,Sample job description,2026-09-01
J0038,Nagpur,Company_36,Data Analyst,1449642,3 years,Sample job description,2026-09-01
J0039,Nashik,Company_13,Supply Chain Coordinator,924102,1 years,Sample job description,2026-09-01
J0040,Mumbai,Company_73,Supply Chain Coordinator,597205,3 years,Sample job description,2026-09-01
J0041,Nagpur,Company_29,Robotics Maintenance Tech,979006,3 years,Sample job description,2026-09-01
J0042,Chhatrapati Sambhajinagar,Company_19,Full Stack Developer,680789,0 years,Sample job description,2026-09-01
J0043,Chhatrapati Sambhajinagar,Company_21,PLC Programmer,1044774,4 years,Sample job description,2026-09-01
J0044,Chhatrapati Sambhajinagar,Company_17,PLC Programmer,1255095,0 years,Sample job description,2026-09-01
J0045,Chhatrapati Sambhajinagar,Company_73,Cloud Architect,555133,4 years,Sample job description,2026-09-01
J0046,Mumbai,Company_85,Digital Marketing Specialist,1267166,4 years,Sample job description,2026-09-01
J0047,Pune,Company_87,Cloud Architect,1329915,4 years,Sample job description,2026-09-01
J0048,Nashik,Company_31,Cloud Architect,446200,5 years,Sample job description,2026-09-01
J0049,Mumbai,Company_95,Data Analyst,1456763,1 years,Sample job description,2026-09-01
J0050,Chhatrapati Sambhajinagar,Company_60,Data Analyst,1423551,2 years,Sample job description,2026-09-01
J0051,Pune,Company_85,PLC Programmer,886699,3 years,Sample job description,2026-09-01
J0052,Chhatrapati Sambhajinagar,Company_71,Solar Grid Engineer,956440,0 years,Sample job description,2026-09-01
J0053,Nashik,Company_65,Supply Chain Coordinator,754670,4 years,Sample job description,2026-09-01
J0054,Nagpur,Company_92,Cloud Architect,767974,1 years,Sample job description,2026-09-01
J0055,Pune,Company_76,Supply Chain Coordinator,322507,0 years,Sample job description,2026-09-01
